symbol,date,act_log_ret,model_h2,mean_log_ret,vol_log_ret,accuracy_model_h2
AAPL,1/2/2015,-0.024,-0.045,0.032,0.007,0.624
AAPL,1/5/2015,-0.07,-0.057,0.033,0.007,0.812
AAPL,1/6/2015,-0.07,-0.052,0.033,0.007,0.906
AAPL,1/7/2015,-0.043,-0.041,0.033,0.007,0.953
AAPL,1/8/2015,0.014,-0.048,0.033,0.007,0.477
AAPL,1/9/2015,0.024,-0.029,0.033,0.007,0.238
AAPL,1/12/2015,0.028,-0.009,0.033,0.007,0.119
AAPL,1/13/2015,0.037,0.016,0.033,0.007,0.56
AAPL,1/14/2015,0.019,0.015,0.033,0.007,0.78
AAPL,1/15/2015,-0.046,0.008,0.033,0.007,0.39
AAPL,1/16/2015,-0.055,0.002,0.033,0.007,0.195
AAPL,1/20/2015,-0.005,0.004,0.033,0.007,0.097
AAPL,1/21/2015,-0.006,-0.006,0.033,0.007,0.549
AAPL,1/22/2015,0.023,-0.008,0.033,0.007,0.274
AAPL,1/23/2015,0.056,0.015,0.034,0.007,0.637
AAPL,1/26/2015,0.065,0.019,0.033,0.008,0.819
AAPL,1/27/2015,0.004,0.017,0.033,0.008,0.909
AAPL,1/28/2015,0.051,0.003,0.032,0.009,0.955
AAPL,1/29/2015,0.056,0.007,0.031,0.009,0.977
AAPL,1/30/2015,0.036,0.004,0.031,0.01,0.989
AAPL,2/2/2015,0.048,-0.011,0.031,0.01,0.494
AAPL,2/3/2015,0.084,0.014,0.031,0.01,0.747
AAPL,2/4/2015,0.036,-0.007,0.031,0.01,0.374
AAPL,2/5/2015,0.013,-0.008,0.031,0.01,0.187
AAPL,2/6/2015,0.019,-0.003,0.031,0.01,0.093
AAPL,2/9/2015,0.013,0.014,0.031,0.01,0.547
AAPL,2/10/2015,0.032,0.023,0.031,0.01,0.773
AAPL,2/11/2015,0.047,0.004,0.031,0.01,0.887
AAPL,2/12/2015,0.053,0.007,0.031,0.01,0.943
AAPL,2/13/2015,0.066,0.014,0.031,0.01,0.972
AAPL,2/17/2015,0.066,0.016,0.031,0.01,0.986
AAPL,2/18/2015,0.053,0.003,0.031,0.01,0.993
AAPL,2/19/2015,0.028,0.007,0.031,0.011,0.996
AAPL,2/20/2015,0.024,0.01,0.031,0.011,0.998
AAPL,2/23/2015,0.046,0.007,0.031,0.011,0.999
AAPL,2/24/2015,0.033,0.004,0.031,0.011,1
AAPL,2/25/2015,0.001,-0.009,0.031,0.011,0.5
AAPL,2/26/2015,0.015,-0.003,0.031,0.012,0.25
AAPL,2/27/2015,-0.008,-0.001,0.031,0.011,0.625
AAPL,3/2/2015,-0.03,-0.028,0.031,0.011,0.812
AAPL,3/3/2015,-0.021,-0.037,0.031,0.011,0.906
AAPL,3/4/2015,-0.002,-0.016,0.031,0.011,0.953
AAPL,3/5/2015,-0.031,-0.017,0.031,0.011,0.977
AAPL,3/6/2015,-0.015,-0.012,0.031,0.011,0.988
AAPL,3/9/2015,-0.015,-0.028,0.031,0.011,0.994
AAPL,3/10/2015,-0.038,-0.02,0.031,0.011,0.997
AAPL,3/11/2015,-0.05,-0.02,0.032,0.01,0.999
AAPL,3/12/2015,-0.016,-0.015,0.032,0.01,0.999
AAPL,3/13/2015,-0.024,-0.019,0.032,0.01,1
AAPL,3/16/2015,-0.017,-0.011,0.032,0.01,1
AAPL,3/17/2015,0.02,0.008,0.032,0.01,1
AAPL,3/18/2015,0.05,0.013,0.032,0.011,1
AAPL,3/19/2015,0.024,0.014,0.032,0.011,1
AAPL,3/20/2015,0.019,0.014,0.032,0.011,1
AAPL,3/23/2015,0.018,0.01,0.032,0.011,1
AAPL,3/24/2015,-0.003,0.008,0.032,0.01,0.5
AAPL,3/25/2015,-0.04,-0.002,0.032,0.01,0.75
AAPL,3/26/2015,-0.026,0.007,0.032,0.01,0.375
AAPL,3/27/2015,-0.021,0.018,0.032,0.01,0.187
AAPL,3/30/2015,-0.007,0.015,0.032,0.01,0.094
AAPL,3/31/2015,-0.018,0.012,0.032,0.01,0.047
AAPL,4/1/2015,0.007,-0.022,0.032,0.01,0.023
AAPL,4/2/2015,0.009,-0.013,0.032,0.01,0.012
AAPL,4/6/2015,0.033,0.005,0.032,0.01,0.506
AAPL,4/7/2015,-0.003,-0.018,0.032,0.01,0.753
AAPL,4/8/2015,0.009,0.02,0.032,0.011,0.876
AAPL,4/9/2015,0.018,0.029,0.032,0.011,0.938
AAPL,4/10/2015,0.014,0.022,0.032,0.011,0.969
AAPL,4/13/2015,-0.004,-0.003,0.032,0.011,0.985
AAPL,4/14/2015,0.002,-0.01,0.032,0.011,0.492
AAPL,4/15/2015,0.009,-0.014,0.032,0.011,0.246
AAPL,4/16/2015,-0.003,-0.013,0.032,0.011,0.623
AAPL,4/17/2015,-0.019,-0.014,0.032,0.011,0.812
AAPL,4/20/2015,0.006,-0.026,0.032,0.011,0.406
AAPL,4/21/2015,0.005,0,0.032,0.011,0.203
AAPL,4/22/2015,0.014,0.017,0.031,0.01,0.601
AAPL,4/23/2015,0.027,0.015,0.031,0.01,0.801
AAPL,4/24/2015,0.043,0.029,0.03,0.01,0.9
AAPL,4/27/2015,0.039,0.016,0.03,0.01,0.95
AAPL,4/28/2015,0.028,0.012,0.029,0.009,0.975
AAPL,4/29/2015,0,0.001,0.029,0.009,0.738
AAPL,4/30/2015,-0.035,-0.005,0.029,0.009,0.869
AAPL,5/1/2015,-0.01,0.053,0.029,0.009,0.434
AAPL,5/4/2015,-0.03,0.035,0.029,0.009,0.217
AAPL,5/5/2015,-0.037,0.025,0.029,0.008,0.109
AAPL,5/6/2015,-0.029,0.017,0.029,0.008,0.054
AAPL,5/7/2015,0.005,0.028,0.029,0.008,0.527
AAPL,5/8/2015,-0.006,-0.012,0.029,0.008,0.764
AAPL,5/11/2015,-0.015,-0.014,0.029,0.008,0.882
AAPL,5/12/2015,0.005,0.008,0.029,0.008,0.941
AAPL,5/13/2015,0.012,0.016,0.029,0.008,0.97
AAPL,5/14/2015,0.029,0.015,0.029,0.008,0.985
AAPL,5/15/2015,0.009,0.007,0.029,0.008,0.993
AAPL,5/18/2015,0.03,0.023,0.029,0.008,0.996
AAPL,5/19/2015,0.033,0.025,0.029,0.008,0.998
AAPL,5/20/2015,0.032,0.015,0.029,0.008,0.999
AAPL,5/21/2015,0.019,-0.005,0.029,0.008,0.5
AAPL,5/22/2015,0.029,-0.003,0.029,0.008,0.25
AAPL,5/26/2015,-0.004,-0.008,0.029,0.008,0.625
AAPL,5/27/2015,0.015,-0.016,0.029,0.008,0.312
AAPL,5/28/2015,0.013,-0.027,0.029,0.008,0.156
AAPL,5/29/2015,-0.008,-0.026,0.029,0.008,0.578
AAPL,6/1/2015,-0.015,-0.034,0.029,0.008,0.789
AAPL,6/2/2015,0.003,-0.015,0.029,0.008,0.395
AAPL,6/3/2015,-0.015,-0.026,0.029,0.008,0.697
AAPL,6/4/2015,-0.019,-0.022,0.029,0.007,0.849
AAPL,6/5/2015,-0.013,-0.023,0.029,0.007,0.924
AAPL,6/8/2015,-0.021,-0.025,0.029,0.007,0.962
AAPL,6/9/2015,-0.02,-0.01,0.029,0.007,0.981
AAPL,6/10/2015,-0.01,-0.013,0.029,0.007,0.991
AAPL,6/11/2015,-0.006,-0.018,0.029,0.007,0.995
AAPL,6/12/2015,-0.012,-0.017,0.029,0.007,0.998
AAPL,6/15/2015,-0.007,0.007,0.029,0.007,0.499
AAPL,6/16/2015,0.001,0.006,0.029,0.007,0.749
AAPL,6/17/2015,-0.012,0.012,0.029,0.007,0.375
AAPL,6/18/2015,-0.006,0.013,0.029,0.007,0.187
AAPL,6/19/2015,-0.004,0.021,0.029,0.007,0.094
AAPL,6/22/2015,0.005,0.031,0.029,0.007,0.547
AAPL,6/23/2015,-0.004,0.029,0.029,0.007,0.273
AAPL,6/24/2015,0.006,0.029,0.029,0.007,0.637
AAPL,6/25/2015,-0.003,0.038,0.029,0.007,0.318
AAPL,6/26/2015,0.001,0.052,0.029,0.007,0.659
AAPL,6/29/2015,-0.024,0.04,0.029,0.007,0.33
AAPL,6/30/2015,-0.013,0.045,0.029,0.007,0.165
AAPL,7/1/2015,-0.012,-0.034,0.029,0.006,0.582
AAPL,7/2/2015,-0.008,-0.031,0.029,0.006,0.791
AAPL,7/6/2015,-0.006,-0.03,0.029,0.006,0.896
AAPL,7/7/2015,0.009,-0.014,0.029,0.006,0.448
AAPL,7/8/2015,-0.023,-0.011,0.029,0.006,0.724
AAPL,7/9/2015,-0.053,-0.018,0.029,0.006,0.862
AAPL,7/10/2015,-0.025,-0.018,0.029,0.005,0.931
AAPL,7/13/2015,-0.003,0.006,0.029,0.005,0.465
AAPL,7/14/2015,-0.001,0.017,0.029,0.005,0.233
AAPL,7/15/2015,0.034,0.05,0.029,0.006,0.616
AAPL,7/16/2015,0.068,0.074,0.029,0.006,0.808
AAPL,7/17/2015,0.05,0.07,0.029,0.006,0.904
AAPL,7/20/2015,0.05,0.046,0.03,0.007,0.952
AAPL,7/21/2015,0.04,0.029,0.03,0.007,0.976
AAPL,7/22/2015,-0.013,0.022,0.03,0.006,0.488
AAPL,7/23/2015,-0.026,0.017,0.03,0.006,0.244
AAPL,7/24/2015,-0.04,0.013,0.03,0.006,0.122
AAPL,7/27/2015,-0.073,-0.003,0.03,0.005,0.561
AAPL,7/28/2015,-0.058,0,0.03,0.005,0.281
AAPL,7/29/2015,-0.018,-0.008,0.03,0.005,0.64
AAPL,7/30/2015,-0.023,-0.027,0.03,0.005,0.82
AAPL,7/31/2015,-0.026,-0.001,0.03,0.005,0.91
AAPL,8/3/2015,-0.036,-0.002,0.03,0.005,0.955
AAPL,8/4/2015,-0.073,-0.004,0.03,0.005,0.978
AAPL,8/5/2015,-0.064,-0.002,0.031,0.005,0.989
AAPL,8/6/2015,-0.056,0.004,0.031,0.004,0.494
AAPL,8/7/2015,-0.044,-0.003,0.031,0.004,0.747
AAPL,8/10/2015,0.015,0.014,0.031,0.004,0.874
AAPL,8/11/2015,-0.006,0.049,0.031,0.004,0.437
AAPL,8/12/2015,0.003,0.007,0.031,0.004,0.718
AAPL,8/13/2015,0,0.017,0.031,0.004,0.609
AAPL,8/14/2015,0.004,0.019,0.031,0.004,0.805
AAPL,8/17/2015,-0.022,0.011,0.031,0.003,0.402
AAPL,8/18/2015,0.026,0.016,0.031,0.003,0.701
AAPL,8/19/2015,-0.002,0.008,0.031,0.003,0.351
AAPL,8/20/2015,-0.022,-0.003,0.031,0.003,0.675
AAPL,8/21/2015,-0.092,-0.005,0.031,0.003,0.838
AAPL,8/24/2015,-0.128,-0.014,0.032,0.002,0.919
AAPL,8/25/2015,-0.116,-0.035,0.033,0.002,0.959
AAPL,8/26/2015,-0.047,-0.025,0.033,0.001,0.98
AAPL,8/27/2015,0.002,-0.021,0.033,0.001,0.49
AAPL,8/28/2015,0.069,-0.015,0.034,0.002,0.245
AAPL,8/31/2015,0.089,0.01,0.034,0.002,0.622
AAPL,9/1/2015,0.038,0.031,0.034,0.002,0.811
AAPL,9/2/2015,0.024,0.036,0.034,0.002,0.906
AAPL,9/3/2015,-0.023,0.016,0.034,0.003,0.453
AAPL,9/4/2015,-0.036,0.006,0.034,0.003,0.226
AAPL,9/8/2015,-0.004,-0.002,0.034,0.003,0.613
AAPL,9/9/2015,0.022,0.013,0.034,0.002,0.807
AAPL,9/10/2015,0.002,-0.007,0.034,0.002,0.403
AAPL,9/11/2015,0.034,0.012,0.034,0.002,0.702
AAPL,9/14/2015,0.054,0.032,0.034,0.002,0.851
AAPL,9/15/2015,0.035,0.03,0.034,0.003,0.925
AAPL,9/16/2015,0.055,0.02,0.034,0.003,0.963
AAPL,9/17/2015,0.012,0.019,0.034,0.003,0.981
AAPL,9/18/2015,-0.007,0.007,0.034,0.003,0.491
AAPL,9/21/2015,-0.001,-0.017,0.034,0.003,0.745
AAPL,9/22/2015,-0.025,-0.019,0.034,0.003,0.873
AAPL,9/23/2015,-0.018,-0.013,0.034,0.003,0.936
AAPL,9/24/2015,0.009,-0.016,0.034,0.003,0.468
AAPL,9/25/2015,0.011,-0.017,0.034,0.003,0.234
AAPL,9/28/2015,-0.024,-0.015,0.034,0.003,0.617
AAPL,9/29/2015,-0.039,-0.006,0.034,0.003,0.809
AAPL,9/30/2015,-0.039,0.005,0.034,0.003,0.404
AAPL,10/1/2015,-0.048,-0.014,0.034,0.002,0.702
AAPL,10/2/2015,-0.038,-0.026,0.034,0.002,0.851
AAPL,10/5/2015,-0.015,-0.021,0.034,0.002,0.926
AAPL,10/6/2015,0.02,0.018,0.034,0.002,0.963
AAPL,10/7/2015,0.008,0.012,0.034,0.002,0.981
AAPL,10/8/2015,-0.001,0.018,0.034,0.002,0.491
AAPL,10/9/2015,0.016,0.011,0.034,0.002,0.745
AAPL,10/12/2015,0.007,0.005,0.034,0.002,0.873
AAPL,10/13/2015,0.004,0.002,0.034,0.003,0.936
AAPL,10/14/2015,-0.005,0.008,0.034,0.003,0.468
AAPL,10/15/2015,0.021,0.012,0.034,0.003,0.734
AAPL,10/16/2015,-0.01,-0.006,0.034,0.003,0.867
AAPL,10/19/2015,0.001,-0.008,0.034,0.003,0.434
AAPL,10/20/2015,0.018,-0.003,0.034,0.003,0.217
AAPL,10/21/2015,0.032,0.009,0.034,0.002,0.608
AAPL,10/22/2015,0.032,0.016,0.033,0.002,0.804
AAPL,10/23/2015,0.07,0.029,0.033,0.002,0.902
AAPL,10/26/2015,0.031,0.019,0.033,0.002,0.951
AAPL,10/27/2015,0.007,0.006,0.033,0.002,0.976
AAPL,10/28/2015,0.047,0.001,0.033,0.002,0.988
AAPL,10/29/2015,0.043,-0.004,0.033,0.002,0.494
AAPL,10/30/2015,0.004,-0.022,0.033,0.002,0.247
AAPL,11/2/2015,0.05,-0.009,0.034,0.002,0.123
AAPL,11/3/2015,0.068,-0.01,0.034,0.002,0.062
AAPL,11/4/2015,0.023,0.009,0.034,0.002,0.531
AAPL,11/5/2015,0.008,0.002,0.034,0.002,0.765
AAPL,11/6/2015,0.017,0.002,0.034,0.003,0.883
AAPL,11/9/2015,-0.001,0.006,0.034,0.002,0.441
AAPL,11/10/2015,-0.044,0.006,0.034,0.002,0.221
AAPL,11/11/2015,-0.045,0,0.034,0.002,0.61
AAPL,11/12/2015,-0.044,0.003,0.034,0.002,0.305
AAPL,11/13/2015,-0.075,-0.003,0.034,0.001,0.653
AAPL,11/16/2015,-0.054,-0.008,0.034,0.001,0.826
AAPL,11/17/2015,-0.027,-0.008,0.034,0,0.913
AAPL,11/18/2015,0.01,-0.001,0.034,0,0.457
AAPL,11/19/2015,0.026,0.001,0.034,0,0.728
AAPL,11/20/2015,0.06,0.02,0.034,0,0.864
AAPL,11/23/2015,0.031,0.003,0.034,0,0.932
AAPL,11/24/2015,0.045,-0.009,0.034,0,0.466
AAPL,11/25/2015,0.006,-0.024,0.034,0,0.233
AAPL,11/27/2015,-0.008,-0.035,0.034,0,0.617
AAPL,11/30/2015,-0.008,-0.026,0.034,0.001,0.808
AAPL,12/1/2015,-0.003,0.003,0.034,0.001,0.404
AAPL,12/2/2015,-0.022,-0.005,0.034,0.001,0.702
AAPL,12/3/2015,-0.024,-0.005,0.034,0.001,0.851
AAPL,12/4/2015,0.01,-0.014,0.034,0.001,0.426
AAPL,12/7/2015,0,-0.003,0.034,0.001,0.463
AAPL,12/8/2015,0.008,-0.003,0.034,0.001,0.231
AAPL,12/9/2015,-0.006,0.01,0.034,0.001,0.116
AAPL,12/10/2015,0.008,0.012,0.034,0.001,0.558
AAPL,12/11/2015,-0.05,0.004,0.034,0.001,0.279
AAPL,12/14/2015,-0.05,-0.002,0.034,0.001,0.639
AAPL,12/15/2015,-0.068,-0.005,0.034,0.001,0.82
AAPL,12/16/2015,-0.038,0.003,0.034,0.001,0.41
AAPL,12/17/2015,-0.064,-0.003,0.034,0.001,0.705
AAPL,12/18/2015,-0.065,0.024,0.035,0,0.352
AAPL,12/21/2015,-0.047,0.027,0.034,0,0.176
AAPL,12/22/2015,-0.03,0.023,0.035,0,0.088
AAPL,12/23/2015,-0.025,0.028,0.035,-0.001,0.044
AAPL,12/24/2015,-0.009,0.033,0.035,-0.001,0.022
AAPL,12/28/2015,0.007,0.062,0.035,-0.001,0.511
AAPL,12/29/2015,0.013,0.054,0.035,-0.001,0.756
AAPL,12/30/2015,0.001,0.048,0.034,0,0.878
AAPL,12/31/2015,-0.031,0.041,0.034,0,0.439
AAPL,1/4/2016,-0.025,-0.065,0.034,0,0.719
AAPL,1/5/2016,-0.039,-0.057,0.034,0,0.86
AAPL,1/6/2016,-0.077,-0.902,0.034,0,0.93
AAPL,1/7/2016,-0.107,-0.275,0.035,-0.001,0.965
AAPL,1/8/2016,-0.082,-0.24,0.035,-0.001,0.982
AAPL,1/11/2016,-0.067,-0.098,0.035,-0.002,0.991
AAPL,1/12/2016,-0.027,-0.04,0.035,-0.002,0.996
AAPL,1/13/2016,-0.033,-0.009,0.035,-0.002,0.998
AAPL,1/14/2016,0.031,0.04,0.035,-0.002,0.999
AAPL,1/15/2016,0.002,0.028,0.035,-0.002,0.999
AAPL,1/19/2016,-0.019,0.023,0.035,-0.002,0.5
AAPL,1/20/2016,-0.032,0.001,0.035,-0.002,0.25
AAPL,1/21/2016,-0.011,0.019,0.035,-0.002,0.125
AAPL,1/22/2016,0.019,0.026,0.035,-0.002,0.562
AAPL,1/25/2016,0.024,0.019,0.035,-0.002,0.781
AAPL,1/26/2016,0.034,-0.013,0.035,-0.002,0.391
AAPL,1/27/2016,-0.035,0.009,0.035,-0.003,0.195
AAPL,1/28/2016,-0.023,-0.029,0.035,-0.003,0.598
AAPL,1/29/2016,-0.041,-1.045,0.035,-0.003,0.799
AAPL,2/1/2016,-0.031,-0.017,0.034,-0.004,0.899
AAPL,2/2/2016,-0.057,0.278,0.034,-0.004,0.45
AAPL,2/3/2016,0.031,0.015,0.034,-0.004,0.725
AAPL,2/4/2016,0.032,-0.426,0.034,-0.004,0.362
AAPL,2/5/2016,-0.029,-0.051,0.034,-0.004,0.681
AAPL,2/8/2016,-0.009,-0.047,0.034,-0.004,0.841
AAPL,2/9/2016,0.011,-0.04,0.034,-0.004,0.42
AAPL,2/10/2016,-0.016,-0.028,0.034,-0.005,0.71
AAPL,2/11/2016,-0.03,-0.046,0.034,-0.005,0.855
AAPL,2/12/2016,0,-0.029,0.033,-0.005,0.678
AAPL,2/16/2016,0.017,-0.015,0.033,-0.005,0.339
AAPL,2/17/2016,0.032,0.001,0.033,-0.005,0.669
AAPL,2/18/2016,0.021,0.008,0.033,-0.005,0.835
AAPL,2/19/2016,0.025,0.026,0.033,-0.006,0.917
AAPL,2/22/2016,0.03,0.038,0.033,-0.006,0.959
AAPL,2/23/2016,-0.02,0.005,0.033,-0.006,0.479
AAPL,2/24/2016,-0.021,0.018,0.033,-0.006,0.24
AAPL,2/25/2016,0.005,0.01,0.033,-0.006,0.62
AAPL,2/26/2016,0.009,-0.009,0.033,-0.006,0.31
AAPL,2/29/2016,-0.002,0.009,0.033,-0.006,0.155
AAPL,3/1/2016,0.06,0.067,0.033,-0.005,0.577
AAPL,3/2/2016,0.047,0.091,0.033,-0.005,0.789
AAPL,3/3/2016,0.048,0.079,0.034,-0.005,0.894
AAPL,3/4/2016,0.061,0.053,0.034,-0.004,0.947
AAPL,3/7/2016,0.052,0.06,0.034,-0.004,0.974
AAPL,3/8/2016,0.005,0.053,0.034,-0.004,0.987
AAPL,3/9/2016,0.004,0.042,0.034,-0.004,0.993
AAPL,3/10/2016,-0.003,0.015,0.034,-0.004,0.497
AAPL,3/11/2016,-0.007,-0.003,0.034,-0.004,0.748
AAPL,3/14/2016,0.006,-0.003,0.034,-0.004,0.374
AAPL,3/15/2016,0.035,0.002,0.034,-0.004,0.687
AAPL,3/16/2016,0.047,0.009,0.034,-0.004,0.844
AAPL,3/17/2016,0.045,0.005,0.034,-0.004,0.922
AAPL,3/18/2016,0.035,-0.004,0.034,-0.003,0.461
AAPL,3/21/2016,0.033,-0.003,0.034,-0.003,0.23
AAPL,3/22/2016,0.02,0.007,0.034,-0.003,0.615
AAPL,3/23/2016,0.002,-0.005,0.034,-0.003,0.308
AAPL,3/24/2016,-0.001,-0.006,0.034,-0.003,0.654
AAPL,3/28/2016,-0.007,-0.014,0.034,-0.003,0.827
AAPL,3/29/2016,0.017,-0.01,0.034,-0.003,0.413
AAPL,3/30/2016,0.026,0.003,0.034,-0.003,0.707
AAPL,3/31/2016,0.027,-0.021,0.034,-0.003,0.353
AAPL,4/1/2016,0.04,0.028,0.034,-0.003,0.677
AAPL,4/4/2016,0.055,0.03,0.034,-0.002,0.838
AAPL,4/5/2016,0.02,0.044,0.034,-0.002,0.919
AAPL,4/6/2016,0.013,0.017,0.034,-0.002,0.96
AAPL,4/7/2016,-0.004,0.011,0.034,-0.002,0.48
AAPL,4/8/2016,-0.012,-0.003,0.034,-0.002,0.74
AAPL,4/11/2016,-0.019,-0.015,0.034,-0.003,0.87
AAPL,4/12/2016,0.006,-0.014,0.034,-0.003,0.435
AAPL,4/13/2016,0.01,-0.015,0.034,-0.002,0.217
AAPL,4/14/2016,0.032,0.006,0.034,-0.002,0.609
AAPL,4/15/2016,0.011,0.009,0.034,-0.002,0.804
AAPL,4/18/2016,-0.014,0.007,0.034,-0.002,0.402
AAPL,4/19/2016,-0.032,0.009,0.034,-0.003,0.201
AAPL,4/20/2016,-0.045,-0.006,0.034,-0.003,0.601
AAPL,4/21/2016,-0.056,-0.028,0.035,-0.003,0.8
AAPL,4/22/2016,-0.039,-0.006,0.034,-0.004,0.9
AAPL,4/25/2016,-0.023,0.001,0.034,-0.004,0.45
AAPL,4/26/2016,-0.024,-0.009,0.034,-0.004,0.725
AAPL,4/27/2016,-0.091,-0.009,0.035,-0.004,0.863
AAPL,4/28/2016,-0.111,-0.014,0.036,-0.004,0.931
AAPL,4/29/2016,-0.12,-0.017,0.036,-0.005,0.966
GOOG,1/2/2015,-0.008,-0.064,,,0.873
GOOG,1/5/2015,-0.038,-0.06,,,0.937
GOOG,1/6/2015,-0.055,-0.057,,,0.968
GOOG,1/7/2015,-0.057,-0.044,,,0.984
GOOG,1/8/2015,-0.046,-0.035,,,0.992
GOOG,1/9/2015,-0.056,-0.035,,,0.996
GOOG,1/12/2015,-0.042,-0.024,,,0.998
GOOG,1/13/2015,-0.012,-0.012,,,0.999
GOOG,1/14/2015,0,-0.006,,,0.75
GOOG,1/15/2015,-0.002,-0.001,,,0.875
GOOG,1/16/2015,0.024,0.002,,,0.937
GOOG,1/20/2015,0.029,0.015,,,0.969
GOOG,1/21/2015,0.043,0.024,,,0.984
GOOG,1/22/2015,0.065,0.049,,,0.992
GOOG,1/23/2015,0.073,0.062,,,0.996
GOOG,1/26/2015,0.052,0.054,,,0.998
GOOG,1/27/2015,0.023,0.025,,,0.999
GOOG,1/28/2015,-0.016,0.005,,,0.5
GOOG,1/29/2015,-0.045,-0.034,,,0.75
GOOG,1/30/2015,-0.01,-0.027,,,0.875
GOOG,2/2/2015,-0.013,-0.011,,,0.937
GOOG,2/3/2015,0.02,0.014,,,0.969
GOOG,2/4/2015,0.025,0.028,,,0.984
GOOG,2/5/2015,0.033,0.039,,,0.992
GOOG,2/6/2015,-0.007,-0.028,,,0.996
GOOG,2/9/2015,-0.001,-0.008,,,0.998
GOOG,2/10/2015,0.014,-0.005,,,0.499
GOOG,2/11/2015,0.025,0.014,,,0.75
GOOG,2/12/2015,0.029,0.036,,,0.875
GOOG,2/13/2015,0.033,0.012,,,0.937
GOOG,2/17/2015,0.028,0.014,,,0.969
GOOG,2/18/2015,0.005,-0.017,,,0.484
GOOG,2/19/2015,0.013,0.007,,,0.742
GOOG,2/20/2015,-0.007,-0.037,,,0.871
GOOG,2/23/2015,-0.032,-0.038,,,0.936
GOOG,2/24/2015,-0.013,-0.02,,,0.968
GOOG,2/25/2015,0.008,-0.001,,,0.484
GOOG,2/26/2015,0.023,0.006,,,0.742
GOOG,2/27/2015,0.035,0.023,,,0.871
GOOG,3/2/2015,0.072,0.04,,,0.935
GOOG,3/3/2015,0.068,0.045,,,0.968
GOOG,3/4/2015,0.053,0.035,,,0.984
GOOG,3/5/2015,0.035,0.018,,,0.992
GOOG,3/6/2015,0.016,0.018,,,0.996
GOOG,3/9/2015,-0.004,-0.015,,,0.998
GOOG,3/10/2015,-0.033,-0.018,,,0.999
GOOG,3/11/2015,-0.039,-0.013,,,0.999
GOOG,3/12/2015,-0.035,-0.02,,,1
GOOG,3/13/2015,-0.037,-0.016,,,1
GOOG,3/16/2015,-0.026,-0.027,,,1
GOOG,3/17/2015,-0.008,-0.015,,,1
GOOG,3/18/2015,0.015,0,,,1
GOOG,3/19/2015,0.004,0.01,,,1
GOOG,3/20/2015,0.024,0.009,,,1
GOOG,3/23/2015,0.008,0.02,,,1
GOOG,3/24/2015,0.035,0.017,,,1
GOOG,3/25/2015,-0.001,0.014,,,0.5
GOOG,3/26/2015,-0.005,0.013,,,0.25
GOOG,3/27/2015,-0.022,0.008,,,0.125
GOOG,3/30/2015,-0.012,0.012,,,0.062
GOOG,3/31/2015,-0.04,0.004,0.029,0,0.031
GOOG,4/1/2015,-0.029,-0.049,0.029,-0.001,0.516
GOOG,4/2/2015,-0.036,-0.031,0.029,-0.001,0.758
GOOG,4/6/2015,-0.021,-0.01,0.029,0,0.879
GOOG,4/7/2015,-0.028,-0.012,0.029,-0.001,0.939
GOOG,4/8/2015,-0.012,-0.003,0.029,-0.001,0.97
GOOG,4/9/2015,-0.003,0,0.029,0,0.485
GOOG,4/10/2015,0.008,0.014,0.029,0,0.742
GOOG,4/13/2015,0.004,0.029,0.029,0,0.871
GOOG,4/14/2015,-0.012,0.013,0.029,0,0.436
GOOG,4/15/2015,-0.017,-0.012,0.029,0,0.718
GOOG,4/16/2015,-0.013,-0.004,0.029,0,0.859
GOOG,4/17/2015,-0.03,-0.016,0.029,0,0.929
GOOG,4/20/2015,-0.007,-0.016,0.029,0,0.965
GOOG,4/21/2015,0.007,0.013,0.029,0,0.982
GOOG,4/22/2015,0.013,0.033,0.029,0,0.991
GOOG,4/23/2015,0.024,0.028,0.029,0,0.996
GOOG,4/24/2015,0.075,0.038,0.029,0.001,0.998
GOOG,4/27/2015,0.037,0.018,0.029,0.001,0.999
GOOG,4/28/2015,0.036,0.012,0.029,0.001,0.999
GOOG,4/29/2015,0.018,0,0.029,0.001,1
GOOG,4/30/2015,-0.018,-0.031,0.029,0.001,1
GOOG,5/1/2015,-0.049,-0.042,0.029,0.001,1
GOOG,5/4/2015,-0.027,-0.03,0.029,0.001,1
GOOG,5/5/2015,-0.042,-0.032,0.029,0.001,1
GOOG,5/6/2015,-0.046,-0.027,0.029,0.001,1
GOOG,5/7/2015,-0.012,-0.007,0.029,0.001,1
GOOG,5/8/2015,0.001,-0.004,0.029,0.001,0.5
GOOG,5/11/2015,-0.009,-0.004,0.029,0,0.75
GOOG,5/12/2015,-0.003,-0.008,0.029,0,0.875
GOOG,5/13/2015,0.01,0.012,0.029,0,0.937
GOOG,5/14/2015,0.014,0.015,0.029,0,0.969
GOOG,5/15/2015,-0.008,0.005,0.029,0,0.484
GOOG,5/18/2015,-0.006,0.008,0.029,0,0.242
GOOG,5/19/2015,0.016,0.011,0.029,0,0.621
GOOG,5/20/2015,0.018,0.017,0.029,0,0.811
GOOG,5/21/2015,0.008,0.008,0.029,0,0.905
GOOG,5/22/2015,0.012,0.027,0.028,0,0.953
GOOG,5/26/2015,0,0.028,0.028,-0.001,0.726
GOOG,5/27/2015,0.005,0.011,0.028,-0.001,0.863
GOOG,5/28/2015,0.001,-0.001,0.028,-0.001,0.432
GOOG,5/29/2015,-0.019,0,0.028,-0.001,0.216
